isbn,pubdate,publisher,series,series_index,tags,title,title_sort,id,uuid
"9780071441193","2004-08-01T17:00:00-07:00","McGraw-Hill Education","","1.0","Physical Library, Total Quality Management, Business & Economics","The Lean Six Sigma Pocket Toolbook: A Quick Reference Guide to 100 Tools for Improving Quality and Speed","Lean Six Sigma Pocket Toolbook: A Quick Reference Guide to 100 Tools for Improving Quality and Speed, The","60","b3bf8b6b-82d7-41b9-a7e4-b3913db118d6"
"9780071828918","2013-12-15T16:00:00-08:00","McGraw-Hill Education","","1.0","Production & Operations Management, Decision-Making & Problem Solving, Office Management, Physical Library, Knowledge Capital, Total Quality Management, General, Business & Economics, Leadership, Management","Value Stream Mapping: How to Visualize Work and Align Leadership for Organizational Transformation","Value Stream Mapping: How to Visualize Work and Align Leadership for Organizational Transformation","61","189ba63c-d7af-4cb0-8d9a-ac8e25b42cf9"
"9780804139298","2014-10-15T16:27:34-07:00","Crown Business","","1.0","Physical Library, Public Policy, Small Business, Economic Policy, Political Science, Business & Economics, Entrepreneurship","Zero to One: Notes on Startups, or How to Build the Future","Zero to One: Notes on Startups, or How to Build the Future","63","89b9d60b-9a40-4259-be2e-0bef74e06157"
"9780471295631","1998-08-29T17:00:00-07:00","Wiley","","1.0","Physical Library, Accounting, Finance, Insurance, General, Risk Assessment & Management, Mathematics, Business & Economics, Probability & Statistics, Management","Against the Gods: The Remarkable Story of Risk","Against the Gods: The Remarkable Story of Risk","64","87b472b7-46a4-4bdc-ba21-f9870d4d5594"
"9781549681066","2017-09-07T16:26:49-07:00","Independently Published","","1.0","Physical Library","Build Deeper: Deep Learning Beginners' Guide","Build Deeper: Deep Learning Beginners' Guide","65","75dd9fee-3791-4e49-ab79-8cabde6bd7c8"
"9781983653490","2018-01-06T16:00:00-08:00","CreateSpace Independent Publishing Platform","","1.0","Physical Library","The Raspberry Pi 3 Project Book: More Project Ideas! With Step-By-Step Configuration Guides and Programming Examples in Python and Node.js","Raspberry Pi 3 Project Book: More Project Ideas! With Step-By-Step Configuration Guides and Programming Examples in Python and Node.js, The","66","a4cac749-f2f4-4226-8ad2-d8a516aa1389"
"1786463512","2016-12-22T16:00:00-08:00","Packt Publishing","","1.0","Physical Library","Scientific Computing With Python 3","Scientific Computing With Python 3","67","30bd939c-cbe5-4bca-aa74-b4f3586138e9"
"1787280640","2017-06-28T17:00:00-07:00","Packt Publishing","","1.0","Physical Library","Comprehensive Ruby Programming: From Beginner to Confident Programmer","Comprehensive Ruby Programming: From Beginner to Confident Programmer","68","b5bc8383-7235-480c-b627-f65a75044e51"
"9781491985571","2018-03-20T17:00:00-07:00","O'Reilly Media","","1.0","Physical Library, Search Engines, Web Programming, Browsers, Technology & Engineering, Automation, Web, Computers","Web Scraping With Python: Collecting More Data From the Modern Web","Web Scraping With Python: Collecting More Data From the Modern Web","69","c0e7c7a7-dafb-4b25-b280-5b3a5bb99059"
"0071392319","2003-12-21T16:00:00-08:00","McGraw-Hill Education","","1.0","Physical Library","The Toyota Way: 14 Management Principles From the World's Greatest Manufacturer","Toyota Way: 14 Management Principles From the World's Greatest Manufacturer, The","70","e9f72953-da4e-451f-9caf-9d135de4912d"
"9780578036427","2009-09-23T17:00:00-07:00","Peter I. Kattan","","1.0","Physical Library","MATLAB for Beginners: A Gentle Approach: Revised Edition","MATLAB for Beginners: A Gentle Approach: Revised Edition","71","0b2e8ec1-586d-4259-a514-5c28bdc0b941"
"9781457187360","2015-10-11T16:27:53-07:00","Maker Media","","1.0","How Things Work-Are Made, Physical Library, Industrial Design, Cad-Cam, Design & Graphics, Industrial, Technology & Engineering, Juvenile Nonfiction, Education, Technology, Product, Desktop Applications, Science & Technology, Computers, Design, Teaching Methods & Materials","Make: Design for 3D Printing: Scanning, Creating, Editing, Remixing, and Making in Three Dimensions","Make: Design for 3D Printing: Scanning, Creating, Editing, Remixing, and Making in Three Dimensions","72","22f9d7fb-024f-4c07-91b5-b3b21e86bab7"
"1491963042","2018-06-10T17:00:00-07:00","O'Reilly Media","","1.0","Physical Library","Applied Text Analysis With Python: Enabling Language-Aware Data Products With Machine Learning","Applied Text Analysis With Python: Enabling Language-Aware Data Products With Machine Learning","73","42aab61d-3e2c-49e7-a9c4-203b053fbcc5"
"9781328683786","2016-10-15T16:28:05-07:00","Houghton Mifflin Harcourt","","1.0","Physical Library, Success, General, Personal Growth, Business & Economics, Self-Help","Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers","Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers","74","4fc42be3-78ef-4752-b1b4-2ed1826debd3"
"168045384X","2017-10-10T17:00:00-07:00","Maker Media, Inc","","1.0","Physical Library","Getting Started With Soldering: A Hands-On Guide to Making Electrical and Mechanical Connections","Getting Started With Soldering: A Hands-On Guide to Making Electrical and Mechanical Connections","75","0910f838-18aa-46e1-8d43-0e940b53d755"
"9781980953906","2018-04-27T17:00:00-07:00","Independently Published","","1.0","Physical Library","Python: - the Bible- 3 Manuscripts in 1 Book: -Python Programming for Beginners -Python Programming for Intermediates -Python Programming for Advanced","Python: - the Bible- 3 Manuscripts in 1 Book: -Python Programming for Beginners -Python Programming for Intermediates -Python Programming for Advanced","76","9cb3c883-bcac-4a02-b5aa-4a40f8ca3e93"
"9781119386315","2017-05-22T16:28:26-07:00","John Wiley & Sons","","1.0","Peripherals, Physical Library, General, Hardware, Computers","3D Printing for Dummies","3D Printing for Dummies","77","10037872-b04d-452f-bda5-a43ab2c75608"
"9789813146761","2016-11-30T15:28:33-08:00","World Scientific Publishing Company Pte Limited","","1.0","Industrial Technology, Physical Library, Industrial Design, Manufacturing, Technology & Engineering, Product","3D Printing and Additive Manufacturing: Principles and Applications","3D Printing and Additive Manufacturing: Principles and Applications","78","5f5a62ca-a5c9-41d4-b74d-193d1caa0db5"
"9781491904909","2014-10-15T16:28:42-07:00","O'Reilly","","1.0","Tools, Physical Library, General, Software Development & Engineering, Computers","User Story Mapping: Discover the Whole Story, Build the Right Product","User Story Mapping: Discover the Whole Story, Build the Right Product","79","76970b64-f235-4e98-972b-45c4e8d55af5"
"9789082748505","2018-03-15T16:28:53-07:00","Unknown Publisher","","1.0","Physical Library","The 3D Printing Handbook: Technologies, Design and Applications","3D Printing Handbook: Technologies, Design and Applications, The","80","72c2f68a-ec76-4998-8be3-91b1578f5a45"
